time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.48833384155e-09,8.5541680854e-07,10.0054156332,0.000595052152474,6.28317520191,0.0,8.56166999824e-07,6.81949740409e-05,0.18050906636,0.0246779515545,-0.000507441032215,0.0,461.36103352072564,461.3209780472671,461.16313365280774,463.10788478840186
0.12000000000000001,4.5266740297e-07,2.1808354663e-05,10.0180473041,0.00198751868235,6.28293154607,0.0,2.59986976517e-05,0.000768436498085,0.240535227265,0.0200925667919,-0.0123338282446,0.0,424.0882538906635,423.07146172641365,424.75865683400684,424.36538282971276
0.18,9.74202229871e-06,0.000115557300865,10.0364102955,0.00291478178421,6.28273203849,0.0,0.000329126682275,0.0024724262076,0.371530012201,0.00402779968948,0.0103899024954,0.0,446.49120012646546,448.34100904549814,446.6480630193626,445.3360965995385
0.23999999999999996,3.61661318501e-05,0.000322316406418,10.0607574747,0.00324236297693,6.28298609416,0.0,0.000504744716684,0.00444731628045,0.440018168001,0.00817990830888,-0.0124096148503,0.0,427.60922698180264,425.6628568717658,427.0746182501501,427.4284717123495
0.3,7.30629985902e-05,0.000657300667179,10.0899714025,0.00348782086059,6.28251755167,0.0,0.000785133134309,0.00675752190758,0.533739600397,-0.00569075280638,9.02041336136e-05,0.0,434.6322703906114,435.6785672018028,435.67270889185886,434.51155791374043
0.36000000000000004,0.000135769853412,0.00114416926757,10.1281292287,0.00306980339976,6.28275017207,0.0,0.00128997669452,0.00942660266196,0.73807818029,-0.00965009227384,0.010540914256,0.0,468.79242433050786,469.60359411013746,469.2871850906218,468.97991237350436
0.4200000000000001,0.000219352287711,0.00177401704643,10.1762487687,0.00295455476385,0.000706201767612,0.0,0.00139785684577,0.0115347145405,0.865818104161,0.0102412834926,0.0321079357722,0.0,445.1890786152335,446.950002423004,445.49911160059327,447.1224114129061
0.48000000000000015,0.00028303808534,0.00252401690993,10.2292518879,0.00403368684581,0.00293587951421,0.0,0.000531594139542,0.0135464905041,0.900924746151,0.0301651916556,0.0457214520022,0.0,415.95295770020545,417.14402675730264,415.7404075346282,417.48222431521623
0.5400000000000001,0.000248904834895,0.00342128797382,10.2848368508,0.00640406442898,0.00559467288893,0.0,-0.00192527964745,0.016564717705,0.951864044005,0.0536057556819,0.041337498633,0.0,423.4322273407384,423.05618958602776,419.5136697002478,421.5446994230067
0.6000000000000002,1.81910755305e-05,0.00454822643777,10.3432864853,0.00917566857547,0.00828599657315,0.0,-0.0060082313195,0.0212872215471,0.996415286608,0.0241387510416,0.051095662062,0.0,419.027761566655,419.8763701653573,421.5861572599254,419.0339401881943
0.6600000000000003,-0.000531742522923,0.00602713609632,10.4067789163,0.0104222220255,0.0116008871074,0.0,-0.0126595334284,0.0281518529598,1.11988127461,0.0130207525957,0.0624717330733,0.0,444.54646459741485,445.47957346364,446.0702953394096,445.16155569384154
0.7200000000000003,-0.00160915685962,0.00799277291647,10.4821384999,0.0128725416154,0.0155877699518,0.0,-0.0237448861777,0.037606192086,1.39180499104,0.0696981121295,0.0734015888686,0.0,489.29096316574885,490.1067109572205,487.5798671748584,491.79598240338595
0.7800000000000004,-0.00344004997073,0.0105870122485,10.5727352126,0.0172008645974,0.0201772177619,0.0,-0.0378297819685,0.0493842052809,1.62776248542,0.0766183350319,0.0820435017042,0.0,479.6413286445798,480.3012599056772,479.8219808741479,480.3505867782121
0.8400000000000004,-0.00621520349537,0.0139826422171,10.6767047558,0.0218014951156,0.0248450696933,0.0,-0.0552378414054,0.0643412682707,1.8375521265,0.0767945286777,0.067564226725,0.0,474.0743186218391,472.96490026301495,472.6226210264901,472.6404680971186
0.9000000000000005,-0.0100360741203,0.0182915370604,10.7890852871,0.0265645074056,0.0285886580207,0.0,-0.0725051607399,0.0797436668797,1.90832764491,0.0841123036861,0.0492664850603,0.0,431.04352357932606,429.4973985226854,431.4142528551382,432.03688752042035
0.9600000000000005,-0.0149836161702,0.0236388238218,10.906387764,0.0314542123517,0.0320900817148,0.0,-0.0927389119198,0.0989967791168,2.00156990249,0.0756703111536,0.072163083412,0.0,437.66682195202986,439.5705550212395,438.7287349838221,438.0327487867657
1.0200000000000005,-0.0213486008395,0.0303635551059,11.0331241438,0.0359395469528,0.0368787254863,0.0,-0.119964683554,0.125688088431,2.22253330725,0.0728614251514,0.0918637736113,0.0,477.6962217511808,479.20054707480364,477.1388659698719,476.92834752934084
1.0800000000000005,-0.0293588267089,0.0386919995121,11.1702281868,0.0398649857135,0.0422791229811,0.0,-0.147610547116,0.152362373735,2.34730970236,0.043252684764,0.0860094871413,0.0,450.0464288334454,449.5790124993781,450.90943892982807,448.51411755038
1.1400000000000006,-0.0390827093702,0.0486420061313,11.313437012,0.0421491369319,0.0474306500326,0.0,-0.177021888699,0.17954021797,2.42611552029,0.0248975247247,0.0855558676694,0.0,435.6982050693905,435.6665154445736,436.89399279393814,435.3616563251212
1.2000000000000006,-0.0506982945921,0.0602852372833,11.4618608207,0.0438525871556,0.0523348709081,0.0,-0.210664390739,0.208719346584,2.52110073123,0.034593074333,0.0727349091738,0.0,441.0773102348898,440.02265748677314,442.03007532880343,442.8285454272924
1.2600000000000007,-0.06428466477,0.0735946942697,11.6132408435,0.0459667318693,0.0566358168131,0.0,-0.242595096365,0.235110586779,2.52485534258,0.0364907899299,0.0694909759263,0.0,412.43501730881815,412.15280584419753,411.9937061935623,412.1621023422016
